GDAY_DS,T_ID,W,L,D,누적승률
20200505OBLG,OB,0,1,0,0.0
20200506OBLG,OB,1,1,0,0.5
20200507OBLG,OB,2,1,0,0.6666666666666666
20200508KTOB,OB,2,2,0,0.5
20200510KTOB,OB,3,2,0,0.6
20200512OBLT,OB,4,2,0,0.6666666666666666
20200513OBLT,OB,4,3,0,0.5714285714285714
20200514OBLT,OB,5,3,0,0.625
20200515OBHT,OB,6,3,0,0.6666666666666666
20200516OBHT,OB,6,4,0,0.6
20200517OBHT,OB,7,4,0,0.6363636363636364
20200519NCOB,OB,7,5,0,0.5833333333333334
20200520NCOB,OB,8,5,0,0.6153846153846154
20200521NCOB,OB,8,6,0,0.5714285714285714
20200522OBSS,OB,9,6,0,0.6
20200523OBSS,OB,10,6,0,0.625
20200524OBSS,OB,10,7,0,0.5882352941176471
20200526SKOB,OB,11,7,0,0.6111111111111112
20200527SKOB,OB,12,7,0,0.631578947368421
20200528SKOB,OB,12,8,0,0.6
20200529LTOB,OB,13,8,0,0.6190476190476191
20200530LTOB,OB,14,8,0,0.6363636363636364
20200531LTOB,OB,14,9,0,0.6086956521739131
20200602OBKT,OB,15,9,0,0.625
20200603OBKT,OB,15,10,0,0.6
20200604OBKT,OB,16,10,0,0.6153846153846154
20200605HTOB,OB,17,10,0,0.6296296296296297
20200606HTOB,OB,18,10,0,0.6428571428571429
20200607HTOB,OB,19,10,0,0.6551724137931034
20200609OBNC,OB,19,11,0,0.6333333333333333
20200610OBNC,OB,20,11,0,0.6451612903225806
20200611OBNC,OB,20,12,0,0.625
20200612OBHH,OB,21,12,0,0.6363636363636364
20200613OBHH,OB,21,13,0,0.6176470588235294
20200614OBHH,OB,21,14,0,0.6
20200616SSOB,OB,21,15,0,0.5833333333333334
20200617SSOB,OB,21,16,0,0.5675675675675675
20200618SSOB,OB,22,16,0,0.5789473684210527
20200619OBLG,OB,23,16,0,0.5897435897435898
20200620OBLG,OB,24,16,0,0.6
20200621OBLG,OB,25,16,0,0.6097560975609756
20200623OBSK,OB,26,16,0,0.6190476190476191
20200625OBSK,OB,26,17,0,0.6046511627906976
20200625OBSK,OB,27,17,0,0.6136363636363636
20200626NCOB,OB,27,18,0,0.6
20200627NCOB,OB,28,18,0,0.6086956521739131
20200628NCOB,OB,28,19,0,0.5957446808510638
20200630OBWO,OB,28,20,0,0.5833333333333334
20200701OBWO,OB,29,20,0,0.5918367346938775
20200702OBWO,OB,29,21,0,0.58
20200703HHOB,OB,30,21,0,0.5882352941176471
20200704HHOB,OB,30,22,0,0.5769230769230769
20200705HHOB,OB,31,22,0,0.5849056603773585
20200707LGOB,OB,32,22,0,0.5925925925925926
20200708LGOB,OB,32,23,0,0.5818181818181818
20200709LGOB,OB,33,23,0,0.5892857142857143
20200710OBLT,OB,34,23,0,0.5964912280701754
20200711OBLT,OB,34,24,0,0.5862068965517241
20200714SKOB,OB,34,25,0,0.576271186440678
20200715SKOB,OB,35,25,0,0.5833333333333334
20200716SKOB,OB,36,25,0,0.5901639344262295
20200717OBHT,OB,36,26,0,0.5806451612903226
20200718OBHT,OB,37,26,0,0.5873015873015873
20200719OBHT,OB,38,26,0,0.59375
20200721WOOB,OB,39,26,0,0.6
20200724LGOB,OB,39,27,0,0.5909090909090909
20200725LGOB,OB,40,27,0,0.5970149253731343
20200726LGOB,OB,40,28,0,0.5882352941176471
20200728WOOB,OB,40,29,0,0.5797101449275363
20200730WOOB,OB,40,30,0,0.5714285714285714
20200731OBNC,OB,40,31,0,0.5633802816901409
20200801OBNC,OB,41,31,0,0.5694444444444444
20200802OBNC,OB,42,31,0,0.5753424657534246
20200804SSOB,OB,42,32,0,0.5675675675675675
20200805SSOB,OB,42,32,1,0.5675675675675675
20200806SSOB,OB,43,32,1,0.5733333333333334
20200807LTOB,OB,43,33,1,0.5657894736842105
20200808LTOB,OB,43,33,2,0.5657894736842105
20200811OBSS,OB,44,33,2,0.5714285714285714
20200812OBSS,OB,45,33,2,0.5769230769230769
20200813OBSS,OB,45,34,2,0.569620253164557
20200814KTOB,OB,45,35,2,0.5625
20200815KTOB,OB,46,35,2,0.5679012345679012
20200816KTOB,OB,46,36,2,0.5609756097560976
20200818OBLT,OB,47,36,2,0.5662650602409639
20200819OBLT,OB,47,37,2,0.5595238095238095
20200820LTOB,OB,47,38,2,0.5529411764705883
20200821LTOB,OB,48,38,2,0.5581395348837209
20200822OBSK,OB,49,38,2,0.5632183908045977
20200823OBSK,OB,50,38,2,0.5681818181818182
20200825HTOB,OB,51,38,2,0.5730337078651685
20200826HTOB,OB,51,39,2,0.5666666666666667
20200827OBNC,OB,51,40,2,0.5604395604395604
20200828OBNC,OB,52,40,2,0.5652173913043478
20200829OBLG,OB,52,40,3,0.5652173913043478
20200830OBLG,OB,52,41,3,0.5591397849462365
20200901HHOB,OB,53,41,3,0.5638297872340425
20200903OBSS,OB,53,42,3,0.5578947368421052
20200904OBSS,OB,53,43,3,0.5520833333333334
20200905SKOB,OB,54,43,3,0.5567010309278351
20200906SKOB,OB,55,43,3,0.5612244897959183
20200908KTOB,OB,56,43,3,0.5656565656565656
20200909KTOB,OB,56,44,3,0.56
20200910OBHT,OB,57,44,3,0.5643564356435643
20200912OBWO,OB,57,45,3,0.5588235294117647
20200913OBWO,OB,57,45,4,0.5588235294117647
20200915NCOB,OB,58,45,4,0.5631067961165048
20200916NCOB,OB,58,46,4,0.5576923076923077
20200917OBKT,OB,58,47,4,0.5523809523809524
20200918OBKT,OB,58,48,4,0.5471698113207547
20200919LGOB,OB,58,49,4,0.5420560747663551
20200920LGOB,OB,59,49,4,0.5462962962962963
20200922OBHH,OB,59,50,4,0.5412844036697247
20200923OBHH,OB,59,51,4,0.5363636363636364
20200924SSOB,OB,60,51,4,0.5405405405405406
20200925SSOB,OB,60,52,4,0.5357142857142857
20200926WOOB,OB,61,52,4,0.5398230088495575
20200927WOOB,OB,61,53,4,0.5350877192982456
20200927WOOB,OB,62,53,4,0.5391304347826087
20200505HHSK,HH,1,0,0,1.0
20200506HHSK,HH,1,1,0,0.5
20200507HHSK,HH,2,1,0,0.6666666666666666
20200508HHWO,HH,2,2,0,0.5
20200509HHWO,HH,2,3,0,0.4
20200510HHWO,HH,2,4,0,0.3333333333333333
20200512HTHH,HH,2,5,0,0.2857142857142857
20200513HTHH,HH,2,6,0,0.25
20200514HTHH,HH,3,6,0,0.3333333333333333
20200515LTHH,HH,4,6,0,0.4
20200516LTHH,HH,4,7,0,0.36363636363636365
20200517LTHH,HH,5,7,0,0.4166666666666667
20200519HHKT,HH,5,8,0,0.38461538461538464
20200520HHKT,HH,5,9,0,0.35714285714285715
20200521HHKT,HH,6,9,0,0.4
20200522HHNC,HH,7,9,0,0.4375
20200523HHNC,HH,7,10,0,0.4117647058823529
20200524HHNC,HH,7,11,0,0.3888888888888889
20200526LGHH,HH,7,12,0,0.3684210526315789
20200527LGHH,HH,7,13,0,0.35
20200528LGHH,HH,7,14,0,0.3333333333333333
20200529HHSK,HH,7,15,0,0.3181818181818182
20200530HHSK,HH,7,16,0,0.30434782608695654
20200531HHSK,HH,7,17,0,0.2916666666666667
20200602WOHH,HH,7,18,0,0.28
20200603WOHH,HH,7,19,0,0.2692307692307692
20200604WOHH,HH,7,20,0,0.25925925925925924
20200605NCHH,HH,7,21,0,0.25
20200606NCHH,HH,7,22,0,0.2413793103448276
20200607NCHH,HH,7,23,0,0.23333333333333334
20200609HHLT,HH,7,24,0,0.22580645161290322
20200610HHLT,HH,7,25,0,0.21875
20200611HHLT,HH,7,26,0,0.21212121212121213
20200612OBHH,HH,7,27,0,0.20588235294117646
20200613OBHH,HH,8,27,0,0.22857142857142856
20200614OBHH,HH,9,27,0,0.25
20200616LGHH,HH,9,28,0,0.24324324324324326
20200617LGHH,HH,9,29,0,0.23684210526315788
20200618LGHH,HH,9,30,0,0.23076923076923078
20200619HHNC,HH,9,31,0,0.225
20200620HHNC,HH,10,31,0,0.24390243902439024
20200621HHNC,HH,10,32,0,0.23809523809523808
20200623HHSS,HH,10,33,0,0.23255813953488372
20200624HHSS,HH,10,34,0,0.22727272727272727
